Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCC31,OUT027,3724.8713639999964
FDQ07,OUT019,440.2447146666667
FDC22,OUT017,3517.598946666672
FDZ56,OUT046,2814.991303333334
FDZ40,OUT019,174.27536933333343
FDS46,OUT027,2301.912507333335
DRD24,OUT045,1842.989883333337
FDV45,OUT017,2876.544513333335
FDL26,OUT045,3209.4134426666674
FDA56,OUT018,1672.3608786666655
FDN27,OUT046,1578.720547333332
FDM20,OUT049,5162.639831999997
FDO16,OUT017,2073.369999333332
FDL03,OUT035,3066.066702666667
FDE58,OUT046,2069.4750693333262
FDI02,OUT027,3686.496871333335
NCC55,OUT019,46.772450000000084
FDR03,OUT018,3639.213974666662
FDB14,OUT017,1629.0883173333295
FDR45,OUT013,4448.334082666659
NCN07,OUT017,1986.1035933333299
FDM51,OUT019,257.66903866666684
FDT52,OUT027,6593.9367239999965
FDL26,OUT046,2845.2075266666716
NCZ42,OUT046,3861.2316426666703
DRI47,OUT019,446.578692
FDW40,OUT013,2344.355038000001
FDN34,OUT046,3601.1146793333346
FDS01,OUT035,3647.9315159999974
NCG55,OUT045,1988.824496000003
FDC11,OUT035,1323.2419906666678
FDX35,OUT018,2394.709492000004
NCB06,OUT046,2255.2576820000027
FDR09,OUT019,554.045469999999
FDC53,OUT017,1276.0656220000017
FDY45,OUT013,3885.289216
FDA22,OUT010,396.89891533333355
FDE02,OUT035,1984.3481006666673
FDW21,OUT045,1638.9932020000037
FDV34,OUT046,1195.3884166666655
FDS59,OUT049,2184.871525333334
NCW17,OUT017,2584.360402666669
NCK54,OUT046,2000.4449253333298
FDG17,OUT019,485.5568433333334
FDG35,OUT017,3459.461290666669
FDD08,OUT010,92.55507733333334
NCO07,OUT017,3964.4439586666685
FDJ10,OUT010,339.8487326666673
FDW36,OUT017,1634.9850860000013
FDW21,OUT010,218.344671333333
FDY19,OUT017,1979.836195999998
DRE03,OUT013,707.4213773333331
NCC55,OUT049,666.354833333333
FDH52,OUT010,133.6926400000002
FDO09,OUT017,4932.565983999988
FDU43,OUT045,4337.114411999998
FDX09,OUT010,351.89527400000105
FDH40,OUT019,232.54174666666682
FDW58,OUT017,1743.8611406666655
FDC47,OUT017,5083.030126
NCR41,OUT035,1397.3743820000007
DRG49,OUT035,5160.37389266665
FDC52,OUT027,3835.196643333332
FDY13,OUT046,1343.4578980000008
FDY35,OUT013,863.7090500000022
FDI35,OUT017,4672.16050733333
NCU18,OUT049,2310.6034166666655
FDY33,OUT018,2768.494050666666
FDC15,OUT027,3820.717712666667
FDU01,OUT049,3804.1925566666637
NCU42,OUT046,3565.865008000009
NCV29,OUT018,2322.6765899999946
NCY30,OUT017,3189.59923466666
FDQ46,OUT049,1789.3197453333344
FDG58,OUT027,3658.5776580000047
FDK33,OUT017,3272.2050406666704
NCD07,OUT045,1213.6979166666683
NCX29,OUT027,3887.3310026666686
NCT42,OUT013,2236.546482666665
DRN59,OUT035,670.1587706666653
FDI44,OUT035,1349.807410666669
FDA45,OUT049,2239.0387939999987
FDP31,OUT045,804.7480213333351
FDY01,OUT046,1798.6409453333345
FDT09,OUT018,2149.397701333333
DRH03,OUT027,2178.0026886666665
FDA36,OUT018,2427.7753393333314
NCF31,OUT017,1938.1881866666668
FDG14,OUT049,3040.191495333333
FDG28,OUT027,6149.630629333329
FDU14,OUT049,4052.2274693333334
FDY47,OUT019,301.6628833333338
FDI56,OUT049,1456.2488566666682
DRD01,OUT013,807.6841993333354
FDM22,OUT046,1138.4270073333346
FDH33,OUT013,680.2878080000004
DRZ24,OUT013,2216.7700033333363
NCQ38,OUT046,1612.9471060000028
FDO16,OUT027,2219.3288946666644
FDU07,OUT027,3796.218491999995
NCB07,OUT013,2519.6291073333346
FDU48,OUT045,1301.60571
NCM43,OUT045,2591.737466666666
FDR31,OUT010,328.63887999999986
DRK49,OUT018,309.22859066666615
NCI30,OUT010,794.6300806666651
DRD60,OUT017,2850.980012666663
NCG19,OUT046,3066.5949039999996
FDH12,OUT035,1787.2713006666672
FDM32,OUT035,1475.6436106666663
FDM27,OUT035,2815.357493333335
NCU53,OUT027,4295.435332000002
NCQ18,OUT046,1874.5843126666682
FDS10,OUT013,2862.7069700000015
FDB33,OUT027,4404.753033999997
FDI12,OUT013,1535.4124766666644
NCW42,OUT013,3911.9611639999994
NCC06,OUT018,2031.3935286666654
FDW02,OUT017,2615.9859026666695
NCD43,OUT017,1559.5277526666666
FDM57,OUT018,987.6255266666662
FDA58,OUT017,3351.2221846666625
FDK56,OUT046,3466.090439333333
FDP52,OUT045,3659.543068000006
FDW20,OUT018,2066.241500666663
FDS52,OUT049,1545.4061346666647
NCT29,OUT018,1846.505307333334
NCL54,OUT013,3219.0364720000025
FDC05,OUT045,2585.711976666668
FDF34,OUT035,2890.987934666661
FDP03,OUT027,3312.5325466666695
FDD32,OUT010,177.88844399999982
FDZ10,OUT045,2329.574278
FDZ40,OUT035,886.3529080000005
FDD51,OUT018,494.65167133333364
NCY30,OUT019,331.96122199999974
FDP58,OUT017,3069.704189999988
FDV49,OUT017,5179.502326666649
FDY24,OUT019,164.59241800000032
NCO55,OUT017,1918.817845333334
FDR13,OUT017,1518.49006
FDS51,OUT017,753.5679753333327
FDP26,OUT045,1370.6025639999962
NCB54,OUT027,4070.3128166666575
FDF32,OUT017,2703.8493093333313
FDN31,OUT018,2454.995462666666
DRM48,OUT017,666.1906026666658
FDN20,OUT049,3024.7538126666645
DRL01,OUT046,3243.2272053333336
FDV56,OUT049,1342.7854400000008
DRH13,OUT027,2730.2260860000006
FDA03,OUT017,2534.8337600000027
FDF47,OUT027,5149.095240666665
FDX32,OUT046,2725.467835333332
FDX57,OUT049,1570.7819920000034
NCA30,OUT045,2960.7371426666627
FDO49,OUT013,658.3230660000002
FDL04,OUT019,201.77068999999997
DRM48,OUT035,868.9000706666666
FDR16,OUT013,3319.0795800000055
NCC19,OUT018,3599.2792906666677
NCE42,OUT045,3217.309830666673
FDY24,OUT017,1158.5829926666652
FDH19,OUT049,1927.9725953333327
FDJ46,OUT013,2394.989128000003
FDN45,OUT010,665.1674899999996
FDY08,OUT035,2339.6611480000056
FDZ37,OUT035,1366.2504513333347
NCT30,OUT045,806.2016846666693
DRY23,OUT018,389.97903400000024
NCZ30,OUT018,1687.0750586666684
FDC44,OUT018,1937.970692000001
FDB45,OUT035,1243.5834593333318
FDY04,OUT013,2145.593764000002
FDM27,OUT046,3009.913130666667
FDZ43,OUT017,3832.8019826666687
FDT39,OUT019,336.36659866666645
NCC06,OUT019,323.97828000000044
FDL15,OUT027,3889.348376666668
FDL57,OUT017,5110.953777999998
FDU08,OUT046,1285.1382566666668
FDK40,OUT017,4481.90371866666
FDQ12,OUT010,592.0227020000009
FDS48,OUT017,2681.726994666664
FDP09,OUT045,4382.590771333337
FDW21,OUT049,1528.7034320000007
FDY25,OUT035,3841.0734379999967
DRE13,OUT017,1335.9654286666635
FDV43,OUT019,79.54756466666677
FDD22,OUT045,1969.5473666666662
FDM46,OUT019,349.56497400000063
NCO30,OUT010,456.20837933333297
FDM25,OUT046,3004.886340666669
NCN41,OUT049,1962.3922359999945
FDU24,OUT045,2145.236451333333
FDZ50,OUT046,3138.0818499999964
FDP45,OUT013,3400.3537859999965
NCM54,OUT045,2005.167666666668
FDW10,OUT019,291.5271880000005
FDP20,OUT017,1668.255112000001
FDK32,OUT046,2833.7934953333324
FDN52,OUT049,1145.7707813333325
FDM58,OUT045,2350.593584000002
FDZ46,OUT027,3399.9210160000016
NCA18,OUT018,1591.5460746666674
FDD35,OUT046,2245.8166379999993
NCK31,OUT035,638.3068986666673
FDI40,OUT027,2901.22349999999
FDT50,OUT019,202.93362066666649
NCT06,OUT046,2979.7967773333344
FDT31,OUT035,2882.798594666666
FDT45,OUT049,865.0095793333362
FDT13,OUT045,3514.8159026666585
FDO50,OUT045,1359.5702579999972
NCU18,OUT010,317.2559193333336
NCR54,OUT049,3141.4863073333304
NCO18,OUT018,2632.497742666666
FDU09,OUT045,833.9122806666676
FDT13,OUT018,2969.838628666664
FDE09,OUT046,1655.3030826666657
NCK53,OUT019,323.1593460000002
FDG45,OUT049,3325.120605333334
DRH15,OUT035,793.2141459999988
FDO21,OUT019,527.1160793333332
FDD14,OUT027,5805.263333999998
FDC09,OUT046,1453.989575333333
FDH45,OUT027,915.3196466666685
FDV32,OUT046,1372.8796000000016
FDG12,OUT035,2231.619562666668
FDS32,OUT013,1720.786732000001
NCL55,OUT018,3738.4004199999968
DRE01,OUT035,3990.3413593333316
DRE15,OUT049,1231.283914000001
NCL42,OUT045,4344.105311999991
FDP31,OUT013,921.4583226666667
FDN33,OUT018,1325.4457886666673
FDZ59,OUT046,3037.5926559999994
FDE45,OUT010,403.24398933333396
FDJ07,OUT013,1721.8431346666634
FDQ45,OUT018,2780.702603333334
FDM33,OUT027,4095.928362000008
FDO15,OUT010,181.51039599999984
FDM46,OUT013,1821.6199226666654
FDR03,OUT045,4524.8744506666635
FDY49,OUT018,2044.8449080000003
FDQ60,OUT045,1722.9150726666658
FDW10,OUT049,2902.006924666667
FDO51,OUT049,657.7127493333336
FDJ40,OUT018,1444.6927880000035
FDS20,OUT018,2415.2738346666647
FDU45,OUT013,2030.814282666669
FDV02,OUT035,2620.2891900000013
FDN09,OUT046,4058.7434319999898
NCM55,OUT027,4567.700925999997
FDN23,OUT018,2562.8062373333364
FDY31,OUT010,390.8845220000001
FDW03,OUT010,266.33553533333355
FDD14,OUT046,2235.3103140000007
FDV23,OUT017,2026.5198726666629
DRI03,OUT045,2136.2947573333295
FDN13,OUT035,1435.8554026666664
FDF45,OUT027,1781.5387626666677
FDU46,OUT035,1770.6041073333308
FDB57,OUT049,3019.653784666665
FDV12,OUT049,1963.6750106666686
FDQ58,OUT013,2545.10261533333
NCA18,OUT017,1144.0618946666682
FDH52,OUT049,733.0213873333333
FDM24,OUT018,2449.855486666666
NCP43,OUT027,4506.522783333338
NCO18,OUT019,405.3701106666662
FDM32,OUT017,1190.4814706666666
NCL07,OUT017,664.0245333333327
FDK03,OUT013,5350.266710666662
FDP59,OUT017,1391.923699333334
FDQ24,OUT049,4181.1796133333355
FDQ16,OUT018,1453.3925746666687
FDU44,OUT013,2716.4972900000034
FDH28,OUT010,83.23387733333325
FDV28,OUT019,70.062134
FDM22,OUT045,857.8966160000002
FDR56,OUT046,2949.1500033333336
FDV39,OUT049,2575.8625753333286
FDU37,OUT019,251.89655266666682
FDQ11,OUT010,662.1136873333337
FDX02,OUT045,4156.744753333335
NCS42,OUT018,1571.3368253333326
FDY57,OUT027,2728.275291999997
FDB21,OUT049,3409.557361333325
FDE28,OUT017,3736.0235139999913
FDQ55,OUT017,2391.722269333334
FDA48,OUT049,3737.523783333331
FDZ19,OUT045,2010.150070000001
NCC43,OUT045,2831.065934666669
NCV18,OUT046,1966.6466980000018
NCA42,OUT018,2884.3321539999993
FDY45,OUT046,3560.414325333334
NCC30,OUT045,3129.6838926666665
FDM57,OUT013,1238.8984466666677
FDL09,OUT010,474.75312866666656
FDB09,OUT027,3766.7257713333324
FDT44,OUT035,1624.2945573333302
NCT06,OUT027,3910.634002666659
FDX26,OUT049,3357.6515933333285
FDK32,OUT013,2790.014926000001
DRA12,OUT046,2275.788734666668
FDO46,OUT010,580.0516179999994
FDE52,OUT013,1283.8177533333328
NCH42,OUT045,4935.799552666656
FDV08,OUT035,656.3633946666672
FDB47,OUT018,2511.018094
FDC28,OUT010,189.58211133333364
FDD22,OUT046,2049.589842666664
FDS07,OUT027,4026.4987380000034
DRI13,OUT045,4130.425679333342
FDG32,OUT018,3683.5673513333327
FDU14,OUT017,4113.656396666663
FDD28,OUT019,144.25666666666638
NCP41,OUT017,1512.5022986666668
FDS08,OUT049,2134.4749039999997
FDX47,OUT045,1883.383969333331
FDC53,OUT019,233.5249113333334
FDQ19,OUT035,3916.48638466667
FDL14,OUT045,2747.3304880000064
FDM33,OUT019,600.5227486666654
FDA51,OUT045,2261.2143726666673
FDZ27,OUT018,569.696208666667
FDT04,OUT046,611.4130173333333
DRC13,OUT049,2016.0801286666624
FDR16,OUT027,4440.15362
FDQ03,OUT027,6008.012749999997
FDE38,OUT035,2498.370113333333
DRH23,OUT027,1830.4861593333364
FDT11,OUT019,507.1221053333333
FDD09,OUT035,2838.7159766666678
FDR40,OUT045,1411.9820340000012
FDX07,OUT017,3037.9965746666585
FDR07,OUT035,1687.410177999997
FDA51,OUT017,1812.6338420000004
FDT59,OUT019,585.37136
FDF20,OUT017,3165.566074000001
FDR13,OUT045,1832.7876080000008
FDY26,OUT049,5055.301775333319
FDW04,OUT017,1717.4200033333334
FDK52,OUT017,4802.022577999993
FDN60,OUT049,3120.27391933334
FDM09,OUT019,489.9600006666669
FDP46,OUT049,1429.4015813333333
FDB50,OUT019,251.01991600000022
NCQ29,OUT049,3267.6931360000062
FDP16,OUT027,7253.642434666669
FDX33,OUT018,2449.9953046666637
FDP07,OUT010,499.50091466666674
FDN22,OUT046,3799.283391333332
FDF39,OUT049,4067.4343413333318
FDS21,OUT017,976.0561419999999
NCM42,OUT013,1857.2446613333336
FDK50,OUT019,457.43789000000055
DRF13,OUT027,3758.085906666665
FDH35,OUT018,1752.9093626666681
FDP60,OUT018,1559.3479866666682
DRJ49,OUT027,3187.1202393333297
NCT42,OUT019,335.51215533333374
FDE38,OUT049,2563.6895320000003
FDI04,OUT049,3558.6211040000003
NCH54,OUT045,2855.5407426666684
FDT56,OUT049,650.9104926666671
DRD15,OUT018,3528.140779999999
FDV58,OUT013,2159.7775233333296
FDP21,OUT049,3548.2812299999982
FDH05,OUT013,3504.256314666665
FDR10,OUT027,5041.455354666666
NCP06,OUT045,1710.0473780000004
FDF33,OUT049,1864.0069700000029
DRK37,OUT013,3702.8356033333307
DRH49,OUT045,1075.6487253333328
FDT58,OUT013,2405.934880000001
FDD41,OUT018,1642.8526226666686
FDP40,OUT018,1803.8696946666685
FDM51,OUT027,2601.233993999997
FDO45,OUT010,206.2892526666664
FDW33,OUT010,270.5012240000004
FDY24,OUT045,959.8749826666649
FDB10,OUT010,590.1961906666659
FDM40,OUT035,1926.2148833333383
NCI06,OUT017,3907.839861999997
FDW12,OUT019,281.6045486666664
FDX48,OUT027,3749.2329859999986
NCW05,OUT027,2203.014575333334
FDX27,OUT017,1418.2982566666633
DRM37,OUT045,4357.922881333335
FDA38,OUT045,3864.3076386666626
FDR36,OUT046,709.7871866666661
FDZ45,OUT046,3130.189900666664
FDG05,OUT017,2593.477424000006
FDK28,OUT013,5237.8552580000005
FDV47,OUT045,1163.8539093333338
FDN21,OUT045,2185.397507333333
FDP20,OUT027,3415.882461333335
FDI35,OUT045,4669.452920666664
DRY23,OUT013,615.7429366666656
FDA56,OUT017,1720.571456666666
FDB09,OUT013,1729.1403026666646
NCO26,OUT027,3025.1555119999994
FDQ49,OUT018,2269.1795599999987
FDI52,OUT027,2632.6730700000044
FDZ44,OUT027,3668.586851333336
FDZ09,OUT018,2567.722060666667
FDY03,OUT049,1698.1850413333339
NCG42,OUT017,1879.8241586666654
DRI13,OUT027,7266.383627333338
FDQ32,OUT013,2118.646618666668
FDW16,OUT035,1199.9069793333333
FDU27,OUT046,874.1443553333334
FDR28,OUT010,405.74961666666724
FDQ49,OUT010,465.187802
FDS37,OUT046,1850.5045459999994
FDW26,OUT018,3276.8412279999957
FDX12,OUT018,3303.95482333333
NCP06,OUT013,2303.432750666668
FDW45,OUT010,289.78723066666635
NCN30,OUT049,1323.179849333331
FDN24,OUT049,1020.1942433333351
NCL41,OUT027,1282.4883726666628
FDR02,OUT019,280.6679899999996
FDD09,OUT010,454.3241653333331
FDS33,OUT010,195.31686866666615
FDU22,OUT045,2066.851817333335
FDI53,OUT013,2152.775526666666
DRH01,OUT049,2679.5254159999963
FDX32,OUT013,2260.637346000001
NCP30,OUT018,463.7186033333324
FDB60,OUT045,3133.205974666673
FDB14,OUT049,1471.0473713333308
NCP02,OUT035,785.4664533333342
FDJ10,OUT017,2094.280558
FDG34,OUT046,1929.366336666668
NCB18,OUT017,1505.058654666668
FDM16,OUT049,1278.4292119999989
FDW25,OUT018,1460.5321700000036
FDB35,OUT010,210.69241000000008
DRN11,OUT013,1992.552976000002
FDF41,OUT019,511.46534066666675
FDH16,OUT045,1497.397516000001
NCQ50,OUT018,3053.3232906666667
DRH23,OUT018,790.191414
DRJ37,OUT013,2033.97017466667
DRJ24,OUT027,5682.551955333337
FDY16,OUT035,2654.753217333329
FDQ27,OUT045,2019.1627826666654
FDZ33,OUT045,1783.5827686666673
FDF29,OUT045,2241.031755333334
FDA08,OUT049,3055.6158620000033
FDG31,OUT046,1198.7729000000015
FDE34,OUT019,590.5490646666667
NCR30,OUT027,2118.9883959999943
FDV33,OUT035,3984.932844000002
DRZ24,OUT018,1342.3215993333336
NCL54,OUT035,3143.747808000003
FDR12,OUT049,2116.5604453333326
NCC54,OUT046,4355.297409999994
DRN59,OUT013,869.4970713333325
FDX50,OUT019,203.8169153333334
FDV31,OUT027,4814.4685993333405
NCA29,OUT027,5088.671671333325
FDW60,OUT049,2978.070136000004
FDX08,OUT017,2769.863379333336
DRD49,OUT013,3735.4131973333433
FDD33,OUT046,3519.7738933333367
FDW35,OUT013,629.607112
FDJ36,OUT017,1809.4868273333336
FDV51,OUT035,3286.479792666668
FDW36,OUT046,1579.2287746666652
FDH35,OUT046,1962.0327040000016
NCS30,OUT027,2640.067888666668
FDN49,OUT017,538.7942113333334
FDL08,OUT018,2795.0750060000005
FDI09,OUT013,3693.1615293333284
FDP19,OUT018,2869.609096666667
FDU21,OUT010,63.45961733333331
NCP41,OUT045,1498.937733333334
FDY10,OUT013,1890.2239546666683
FDP12,OUT018,554.7223666666657
NCN26,OUT049,1669.0030273333336
FDK44,OUT013,2363.8829520000004
FDC28,OUT049,1452.5314733333335
FDJ41,OUT027,5220.1272233333175
NCT29,OUT035,1638.0078179999998
NCH42,OUT019,521.6476420000007
FDU60,OUT018,3029.310104
FDS02,OUT045,3726.518109333336
FDC51,OUT046,2405.557593333332
FDU03,OUT013,3451.7291333333405
FDX39,OUT045,4104.601516666667
NCY05,OUT010,84.84511333333319
NCL06,OUT027,5797.657678666656
FDD32,OUT035,1287.359809333334
NCN41,OUT045,1930.0498913333292
NCX53,OUT049,2457.6875139999997
FDU57,OUT019,274.31181933333295
FDQ23,OUT046,2000.5181633333318
FDQ52,OUT045,4812.282556
FDC14,OUT045,475.8472599999994
FDY09,OUT035,3128.8804939999973
FDQ28,OUT045,2281.2993393333327
FDV25,OUT046,4526.312578666662
FDJ07,OUT035,1931.8453319999978
DRB25,OUT049,1677.3099919999997
FDK52,OUT019,699.7003166666652
FDY52,OUT027,1555.6172873333308
FDB28,OUT046,2733.7969933333325
FDT36,OUT035,660.1628933333334
FDV25,OUT017,4091.778208666662
NCN07,OUT027,3543.625068666667
FDC57,OUT017,3003.8832019999973
FDQ03,OUT018,3249.734290666666
FDU23,OUT017,3267.251488666673
NCX41,OUT035,3884.0974340000043
NCD06,OUT035,726.5098633333324
FDW08,OUT045,1609.2008713333344
NCU29,OUT017,2714.9992400000033
NCE06,OUT013,2090.8139593333312
FDV52,OUT010,248.3367419999999
FDB02,OUT017,2854.040473333332
NCR18,OUT045,676.8012353333341
FDK16,OUT049,1395.0773719999986
NCQ29,OUT010,723.4272093333318
FDZ01,OUT019,201.82395399999947
FDW27,OUT035,2632.1781586666625
FDD17,OUT018,3515.0533713333302
FDW39,OUT013,2516.903766000001
DRH59,OUT045,1090.977660666667
FDS52,OUT013,1201.4804866666657
FDU40,OUT027,5345.060154666665
NCF54,OUT013,2342.066905333336
FDH46,OUT045,1829.4186599999996
NCP14,OUT049,1933.3100919999993
FDH50,OUT049,3577.7073706666674
DRF15,OUT010,289.8049853333332
FDV27,OUT027,2285.0833026666646
NCJ06,OUT049,2163.4327653333316
FDN02,OUT018,3425.450007333333
FDQ51,OUT049,905.0840813333324
FDQ07,OUT017,4987.572160666652
FDS45,OUT049,1818.6393579999994
NCJ06,OUT045,2077.222761999995
FDD36,OUT035,2049.9427166666665
FDY25,OUT045,3839.575388000006
FDU52,OUT046,2404.7497560000006
DRK47,OUT017,3152.4831040000086
NCL30,OUT017,1885.4257559999987
FDN22,OUT035,3765.1833346666676
NCF30,OUT027,3477.668701333333
FDK03,OUT035,5633.01421599999
FDT45,OUT017,893.7876746666678
NCC54,OUT027,5578.347597333326
FDP08,OUT018,3163.8660646666654
FDU44,OUT046,2752.650230000006
DRG39,OUT035,727.4974666666666
